model_id,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.05,6.935068635122497
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.25,20.52358725777936
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.5,40.53492205313866
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.75,80.15178772987858
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.95,201.1953186872756
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,1,2024-10-19,48,quantile,0.05,8.775685252438208
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,1,2024-10-19,48,quantile,0.25,25.67660121892456
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,1,2024-10-19,48,quantile,0.5,51.79607296279545
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,1,2024-10-19,48,quantile,0.75,105.8152905588471
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,1,2024-10-19,48,quantile,0.95,289.13098260025095
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,2,2024-10-26,48,quantile,0.05,12.075761731741048
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,2,2024-10-26,48,quantile,0.25,38.70593743381539
distributional_gaussian_nll_joint_base_no_donors_wastewaterscan_lags124,2024-10-12,wk inc flu hosp,2,2024-10-26,48,quantile,0.5,80.12446668102572
