model_id,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.05,0.8156150383783578
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.25,2.715831287104943
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.5,4.995578429173936
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.75,8.604441885412136
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.95,18.53636641197894
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,1,2024-10-19,48,quantile,0.05,1.2280168974152348
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,1,2024-10-19,48,quantile,0.25,3.859439225871344
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,1,2024-10-19,48,quantile,0.5,7.476864774991743
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,1,2024-10-19,48,quantile,0.75,14.05196387903448
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,1,2024-10-19,48,quantile,0.95,31.344492553687587
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,2,2024-10-26,48,quantile,0.05,1.359414362589367
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,2,2024-10-26,48,quantile,0.25,4.765070437650996
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,2,2024-10-26,48,quantile,0.5,10.090500772985122
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,2,2024-10-26,48,quantile,0.75,20.32240991139232
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,2,2024-10-26,48,quantile,0.95,50.77969913510278
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,3,2024-11-02,48,quantile,0.05,1.5488833045805128
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,3,2024-11-02,48,quantile,0.25,5.869414487231879
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,3,2024-11-02,48,quantile,0.5,12.48767201945478
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,3,2024-11-02,48,quantile,0.75,25.198867633077413
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,3,2024-11-02,48,quantile,0.95,65.97562124979282
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,0,2024-10-19,48,quantile,0.05,26.451187911841263
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,0,2024-10-19,48,quantile,0.25,68.70779230480528
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,0,2024-10-19,48,quantile,0.5,137.2388520144193
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,0,2024-10-19,48,quantile,0.75,257.3399952003218
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,0,2024-10-19,48,quantile,0.95,614.6029527338093
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,1,2024-10-26,48,quantile,0.05,30.31945437649358
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,1,2024-10-26,48,quantile,0.25,85.65591652366697
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,1,2024-10-26,48,quantile,0.5,167.08624635844944
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,1,2024-10-26,48,quantile,0.75,333.7205215469792
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,1,2024-10-26,48,quantile,0.95,864.8126497485168
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,2,2024-11-02,48,quantile,0.05,49.15265181687924
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,2,2024-11-02,48,quantile,0.25,146.22895956331018
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,2,2024-11-02,48,quantile,0.5,292.1909342338747
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,2,2024-11-02,48,quantile,0.75,609.5334302415167
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,2,2024-11-02,48,quantile,0.95,1807.832880489308
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,3,2024-11-09,48,quantile,0.05,59.28196373628444
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-19,wk inc flu hosp,3,2024-11-09,48,quantile,0.25,177.67686295633456
