model_id,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.01,0.0928015045849567
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.025,0.437616547653297
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.05,0.8156150383783578
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.1,1.3813879342263446
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.15,1.860346139065013
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.2,2.3012342586944587
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.25,2.715831287104943
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.3,3.163910493563348
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.35,3.539569241292199
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.4,3.964149757845792
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.45,4.4470242239477615
distributional_gaussian_nll_joint_base_spatial_no_donors_revised_visualization,2024-10-12,wk inc flu hosp,0,2024-10-12,48,quantile,0.5,4.995578429173936
